id,step_name,endpoint,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql
17,"AssemblyBOMComponent","BOM Component",0,"nav","BOMComponent",17,False,,,,,,
19,"ProductionBOMHeader","Production BOM Header",0,"nav","ProductionBOMHeader",19,False,,,,,,
20,"ProductionBOMLine","Production BOM Line",0,"nav","ProductionBOMLine",20,False,,,,,,
23,"ProductionOrder","Production Order",0,"nav","ProductionOrder",23,False,,,,,,
24,"ProductionOrderLine","Prod_ Order Line",0,"nav","ProductionOrderLine",24,False,,,,,,
25,"ProdOrderComponent","Prod_ Order Component",0,"nav","ProdOrderComponent",25,False,,,,,,
26,"AssemblyHeader","Assembly Header",0,"nav","AssemblyHeader",26,False,,,,,,
27,"AssemblyLine","Assembly Line",0,"nav","AssemblyLine",27,False,,,,,,
50001,"DiscountLedgerEntry","Discount Ledger Entry",0,"nav_cus","DiscountLedgerEntry",50001,True,,,,,,
50002,"OverrideRawDataItems","Item",0,"nav_cus","OverrideRawData_Item",50002,True,,,"[No_], [Vendor No_], [Vendor Item No_], [Product Status]",,,
50003,"CC Division ItemFamilyCode","Item",0,"nav_cus","CC_Division_ItemFamilyCode",50003,True,,,,,,
50004,"Division","Division",0,"nav_cus","Division",50004,True,,,,,,
50005,"Item Family","Item Family",0,"nav_cus","ItemFamily",50005,True,,,,,,
